2014/2/16 星期日 22:24:24	此日志包含有关用户“Kelanlee”在计算机“LEE”上将架构导入项目“Database”的操作信息。
2014/2/16 星期日 22:24:25	已开始导入数据库架构。
2014/2/16 星期日 22:24:29	正在收集数据库选项
2014/2/16 星期日 22:24:29	正在收集用户
2014/2/16 星期日 22:24:29	正在收集角色
2014/2/16 星期日 22:24:29	正在收集应用程序角色
2014/2/16 星期日 22:24:29	正在收集角色成员资格
2014/2/16 星期日 22:24:29	正在收集文件组
2014/2/16 星期日 22:24:29	正在收集全文目录
2014/2/16 星期日 22:24:29	正在收集程序集
2014/2/16 星期日 22:24:29	正在收集证书
2014/2/16 星期日 22:24:29	正在收集非对称密钥
2014/2/16 星期日 22:24:29	正在收集对称密钥
2014/2/16 星期日 22:24:29	正在收集加密的对称密钥
2014/2/16 星期日 22:24:29	正在收集架构
2014/2/16 星期日 22:24:29	正在收集 XML 架构集合
2014/2/16 星期日 22:24:29	正在收集用户定义的数据类型
2014/2/16 星期日 22:24:29	正在收集用户定义的类型
2014/2/16 星期日 22:24:29	正在收集表类型
2014/2/16 星期日 22:24:29	正在收集表类型的唯一键
2014/2/16 星期日 22:24:29	正在收集表类型的主键
2014/2/16 星期日 22:24:29	正在收集表类型的 CHECK 约束
2014/2/16 星期日 22:24:29	正在收集表类型的默认约束
2014/2/16 星期日 22:24:29	正在收集分区函数
2014/2/16 星期日 22:24:29	正在收集分区方案
2014/2/16 星期日 22:24:29	正在收集函数
2014/2/16 星期日 22:24:29	收集加密函数
2014/2/16 星期日 22:24:29	正在收集聚合
2014/2/16 星期日 22:24:29	正在收集过程
2014/2/16 星期日 22:24:29	收集加密过程
2014/2/16 星期日 22:24:29	正在收集表
2014/2/16 星期日 22:24:29	正在收集主键
2014/2/16 星期日 22:24:29	正在收集唯一约束
2014/2/16 星期日 22:24:29	正在收集外键
2014/2/16 星期日 22:24:29	正在收集默认约束
2014/2/16 星期日 22:24:29	正在收集 CHECK 约束
2014/2/16 星期日 22:24:29	正在收集视图
2014/2/16 星期日 22:24:29	收集加密视图
2014/2/16 星期日 22:24:29	正在收集索引
2014/2/16 星期日 22:24:29	正在收集统计信息
2014/2/16 星期日 22:24:29	正在收集全文索引非索引字表
2014/2/16 星期日 22:24:29	正在收集全文索引
2014/2/16 星期日 22:24:29	正在收集空间索引
2014/2/16 星期日 22:24:29	正在收集 XML 索引
2014/2/16 星期日 22:24:29	收集加密触发器
2014/2/16 星期日 22:24:29	正在收集触发器
2014/2/16 星期日 22:24:29	正在收集加密的 DDL 触发器和 CLR DDL 触发器
2014/2/16 星期日 22:24:29	正在收集 DDL 触发器
2014/2/16 星期日 22:24:29	正在收集同义词
2014/2/16 星期日 22:24:29	正在收集默认值
2014/2/16 星期日 22:24:29	收集数据约束 UDDT 绑定
2014/2/16 星期日 22:24:29	正在收集规则
2014/2/16 星期日 22:24:29	收集数据约束 UDDT 绑定
2014/2/16 星期日 22:24:29	正在收集消息类型
2014/2/16 星期日 22:24:29	正在收集队列
2014/2/16 星期日 22:24:29	正在收集协定
2014/2/16 星期日 22:24:29	正在收集服务
2014/2/16 星期日 22:24:29	正在收集事件通知
2014/2/16 星期日 22:24:29	正在收集远程服务绑定
2014/2/16 星期日 22:24:29	正在收集 Broker 优先级
2014/2/16 星期日 22:24:29	正在收集签名
2014/2/16 星期日 22:24:29	正在收集数据压缩选项
2014/2/16 星期日 22:24:29	正在收集数据库权限
2014/2/16 星期日 22:24:29	正在收集扩展属性
2014/2/16 星期日 22:24:29	正在收集凭据
2014/2/16 星期日 22:24:29	正在收集登录名
2014/2/16 星期日 22:24:29	正在收集服务器审核
2014/2/16 星期日 22:24:30	正在扫描项目中的重复元素
2014/2/16 星期日 22:24:30	已完成重复元素处理
2014/2/16 星期日 22:24:31	导入数据库完成。
2014/2/16 星期日 22:24:31	已将导入操作的摘要保存到以下位置: D:\Code\MyLove\Database\导入架构日志\Database_20140216022424.log
2014/2/16 星期日 22:24:31	单击“完成”继续...
